RunwayAreaAffected,ObstacleType, Latitude, Longitude,Elevation,Marking,Remarks
In circling area and at AD,POLE,221933.0N,0731304.4E,157,NIL,ELECTRIC POLE
In circling area and at AD,TREE,221944.0N,0731258.5E,150,NIL,GROUP OF TREES
In circling area and at AD,BUILDING,221947.5N,0731258.8E,183,NIL,TERMINAL 
In circling area and at AD,OTHER,221908.1N,0731244.6E,214,NIL,CELL PHONE 
In circling area and at AD,POLE,221934.2N,0731305.1E,156,NIL,ELECTRIC POLE
In circling area and at AD,POLE,221935.8N,0731305.9E,155,NIL,ELECTRIC POLE
In circling area and at AD,OTHER,221944.5N,0731300.0E,158,NIL,FL MAST
In circling area and at AD,FENCE,221944.0N,0731259.5E,130,NIL,AIRPORT 
In circling area and at AD,BUILDING,221938.0N,0731307.6E,145,NIL,STRUCTURE
In circling area and at AD,OTHER,222232.3N,0731515.5E,293,NIL,PYLON MAST
In circling area and at AD,OTHER,222134.5N,0731534.9E,301,NIL,PYLON MAST
In circling area and at AD,TREE,222047.6N,0731425.8E,176,NIL,TREE
In circling area and at AD,POLE,222048.8N,0731405.8E,150,NIL,LIGHT POST
In circling area and at AD,FENCE,222031.6N,0731349.3E,140,NIL,AIRPORT 
In circling area and at AD,POLE,222045.7N,0731403.1E,149,NIL,LIGHT POST
In circling area and at AD,POLE,222043.2N,0731400.8E,147,NIL,LIGHT POST
In circling area and at AD,BUILDING,222034.4N,0731408.3E,154,NIL,STRUCTURE
In circling area and at AD,BUILDING,222046.0N,0731424.2E,188,NIL,BUILDING
In circling area and at AD,BUILDING,222036.4N,0731410.2E,154,NIL,STRUCTURE
In circling area and at AD,TREE,222029.6N,0731347.1E,157,NIL,GROUP OF TREES
In circling area and at AD,NAVAID,222036.4N,0731356.7E,146,NIL,GP MONITOR 
In circling area and at AD,BUILDING,222041.7N,0731403.6E,146,NIL,GENERATOR 
In circling area and at AD,POLE,222029.3N,0731401.3E,149,NIL,LIGHT POST
In circling area and at AD,NAVAID,222034.8N,0731354.7E,150,NIL,GP / DME 
In circling area and at AD,POLE,222031.4N,0731351.4E,158,NIL,LIGHT POST
In circling area and at AD,POLE,222030.1N,0731349.5E,154,NIL,LIGHT POST
In circling area and at AD,POLE,222030.7N,0731350.5E,154,NIL,LIGHT POST
In circling area and at AD,BUILDING,222034.9N,0731407.0E,155,NIL,STRUCTURE
In circling area and at AD,BUILDING,221946.7N,0731543.1E,291,NIL,UNDER 
In circling area and at AD,OTHER,222145.9N,0731613.2E,338,NIL,PYLON MAST
In circling area and at AD,OTHER,222134.3N,0731632.7E,398,NIL,PYLON MAST
In circling area and at AD,OTHER,222134.2N,0731604.7E,306,NIL,PYLON MAST
